Index,City,Country,Full Name
1,LONDON,UK,"LONDON, UK"
2,BERLIN,Germany,"BERLIN, Germany"
3,MADRID,Spain,"MADRID, Spain"
4,ROMA,Italy,"ROMA, Italy"
5,KIEV,Ukraine,"KIEV, Ukraine"
6,PARIS,France,"PARIS, France"
7,BUCURESTI (Bucharest),Romania,"BUCURESTI (Bucharest), Romania"
8,BUDAPEST,Hungary,"BUDAPEST, Hungary"
9,Hamburg,Germany,"Hamburg, Germany"
10,MINSK,Belarus,"MINSK, Belarus"
11,WARSZAWA (Warsaw),Poland,"WARSZAWA (Warsaw), Poland"
12,BEOGRAD (Belgrade),Serbia,"BEOGRAD (Belgrade), Serbia"
13,WIEN (Vienna),Austria,"WIEN (Vienna), Austria"
14,Kharkov,Ukraine,"Kharkov, Ukraine"
15,Barcelona,Spain,"Barcelona, Spain"
16,Milano (Milan),Italy,"Milano (Milan), Italy"
17,München (Munich),Germany,"München (Munich), Germany"
18,PRAHA (Prague),Czech Republic,"PRAHA (Prague), Czech Republic"
19,SOFIA,Bulgaria,"SOFIA, Bulgaria"
20,Dnepropetrovsk,Ukraine,"Dnepropetrovsk, Ukraine"
21,Donetsk,Ukraine,"Donetsk, Ukraine"
22,Napoli (Naples),Italy,"Napoli (Naples), Italy"
23,Birmingham,UK,"Birmingham, UK"
24,Odessa,Ukraine,"Odessa, Ukraine"
25,Köln (Cologne),Germany,"Köln (Cologne), Germany"
26,Torino (Turin),Italy,"Torino (Turin), Italy"
27,ZAGREB,Croatia,"ZAGREB, Croatia"
28,Zaporozhye,Ukraine,"Zaporozhye, Ukraine"
29,Lódz,Poland,"Lódz, Poland"
30,Marseille,France,"Marseille, France"
31,RIGA,Latvia,"RIGA, Latvia"
32,Lvov,Ukraine,"Lvov, Ukraine"
33,ATHINAI (Athens),Greece,"ATHINAI (Athens), Greece"
34,Salonika,Greece,"Salonika, Greece"
35,STOCKHOLM,Sweden,"STOCKHOLM, Sweden"
36,Kraków,Poland,"Kraków, Poland"
37,Valencia,Spain,"Valencia, Spain"
38,AMSTERDAM,Netherlands,"AMSTERDAM, Netherlands"
39,Leeds,UK,"Leeds, UK"
40,Kryvy Rig,Ukraine,"Kryvy Rig, Ukraine"
41,Sevilla,Spain,"Sevilla, Spain"
42,Palermo,Italy,"Palermo, Italy"
43,KISHINEV,Moldova,"KISHINEV, Moldova"
44,Genova,Italy,"Genova, Italy"
45,Frankfurt am Main,Germany,"Frankfurt am Main, Germany"
46,Wroclaw (Breslau),Poland,"Wroclaw (Breslau), Poland"
47,Glasgow,UK,"Glasgow, UK"
48,Zaragoza,Spain,"Zaragoza, Spain"
49,Essen,Germany,"Essen, Germany"
50,Rotterdam,Netherlands,"Rotterdam, Netherlands"
51,Dortmund,Germany,"Dortmund, Germany"
52,Stuttgart,Germany,"Stuttgart, Germany"
53,VILNIUS,Lithuania,"VILNIUS, Lithuania"
54,Poznan,Poland,"Poznan, Poland"
55,Düsseldorf,Germany,"Düsseldorf, Germany"
56,LISBOA (Lisbon),Portugal,"LISBOA (Lisbon), Portugal"
57,HELSINKI,Finland,"HELSINKI, Finland"
58,Málaga,Spain,"Málaga, Spain"
59,Bremen,Germany,"Bremen, Germany"
60,Sheffield,UK,"Sheffield, UK"
61,SARAJEVO,Bosnia,"SARAJEVO, Bosnia"
62,Duisburg,Germany,"Duisburg, Germany"
63,Hannover,Germany,"Hannover, Germany"
64,Mykolaiv,Ukraine,"Mykolaiv, Ukraine"
65,OSLO,Norway,"OSLO, Norway"
66,KOBENHAVN (Copenhagen),Denmark,"KOBENHAVN (Copenhagen), Denmark"
